Code,RateInEUR
AED,4.04805
AFN,86.244755
ALL,122.836768
AMD,526.297292
ANG,1.90111
AOA,509.765969
ARS,65.69488
AUD,1.624183
AWG,1.983907
AZN,1.87195
BAM,1.961204
BBD,2.225198
BDT,93.394538
BGN,1.95591
BHD,0.415645
BIF,2062.160853
BMD,1.10217
BND,1.502116
BOB,7.620784
BRL,4.623939
BSD,1.10202
BTC,0.000127
BTN,79.265517
BWP,12.031471
BYN,2.261197
BYR,21602.540204
BZD,2.221388
CAD,1.46032
CDF,1836.216232
CHF,1.089053
CLF,0.032055
CLP,884.490956
CNY,7.738123
COP,3806.345541
CRC,641.618303
CUC,1.10217
CUP,29.207516
CVE,110.660893
CZK,25.576638
DJF,195.877681
DKK,7.473263
DOP,58.211524
DZD,132.421466
EGP,17.779884
ERN,16.532819
ETB,32.789261
EUR,1
FJD,2.417666
FKP,0.895932
GBP,0.855586
GEL,3.267901
GGP,0.855589
GHS,6.155686
GIP,0.895932
GMD,56.486062
GNF,10387.955867
GTQ,8.49137
GYD,230.080522
HKD,8.627956
HNL,27.234681
HRK,7.438712
HTG,107.309064
HUF,334.343374
IDR,15545.452452
ILS,3.838914
IMP,0.855589
INR,79.319463
IQD,1311.582798
IRR,46406.885629
ISK,135.897719
JEP,0.855589
JMD,155.523201
JOD,0.78142
JPY,119.469765
KES,112.476675
KGS,76.986708
KHR,4481.425161
KMF,492.504354
KPW,992.024911
KRW,1288.551165
KWD,0.334828
KYD,0.918417
KZT,428.183397
LAK,9770.74107
LBP,1667.584126
LKR,198.812531
LRD,217.954517
LSL,16.350733
LTL,3.254422
LVL,0.666692
LYD,1.548523
MAD,10.663495
MDL,19.410092
MGA,4092.358978
MKD,61.558813
MMK,1670.730646
MNT,2981.94746
MOP,8.886953
MRO,393.474306
MUR,40.397162
MVR,17.028704
MWK,810.156096
MXN,21.297681
MYR,4.587782
MZN,68.654576
NAD,16.356169
NGN,397.884267
NIO,37.331138
NOK,10.098168
NPR,126.824557
NZD,1.726999
OMR,0.424366
PAB,1.10212
PEN,3.734179
PGK,3.711995
PHP,55.863103
PKR,171.388934
PLN,4.284632
PYG,7114.09568
QAR,4.013024
RON,4.766994
RSD,117.506281
RUB,70.480821
RWF,1027.773915
SAR,4.133433
SBD,9.15058
SCR,15.075911
SDG,49.716946
SEK,10.671649
SGD,1.501488
SHP,1.455859
SLL,10635.944758
SOS,639.258786
SRD,8.220012
STD,23763.664939
SVC,9.643427
SYP,567.617991
SZL,16.356501
THB,33.294616
TJS,10.678964
TMT,3.857596
TND,3.135684
TOP,2.553178
TRY,6.335388
TTD,7.468166
TWD,33.633839
TZS,2539.158384
UAH,26.7112
UGX,4072.159394
USD,1.10217
UYU,41.410482
UZS,10459.59696
VEF,11.007927
VND,25579.72216
VUV,129.242988
WST,2.946294
XAF,657.759544
XAG,0.064736
XAU,0.000749
XCD,2.97867
XDR,0.80211
XOF,656.893392
XPF,119.723268
YER,275.869367
ZAR,16.348329
ZMK,9920.859781
ZMW,15.434397
ZWL,354.898876